"{21.0,21.0,0.9}"
"{15.0,12.0,1.0}"
"{10.0,8.0,1.2}"
"{13.0,11.0,1.2}"
"{20.0,18.0,1.3}"
"{11.0,7.0,1.4}"
"{7.0,6.0,1.5}"
"{9.0,9.0,1.5}"
"{10.0,9.0,1.5}"
"{17.0,15.0,1.5}"
"{17.0,16.0,1.5}"
"{20.0,19.0,1.5}"
"{24.0,23.0,1.5}"
"{10.0,5.0,1.6}"
"{13.0,12.0,1.6}"
"{20.0,19.0,1.6}"
"{16.0,13.0,1.7}"
"{15.0,15.0,1.7}"
"{17.0,16.0,1.7}"
"{18.0,18.0,1.7}"
"{19.0,18.0,1.7}"
"{15.0,10.0,1.8}"
"{16.0,11.0,1.9}"
"{15.0,14.0,2.0}"
"{17.0,15.0,2.0}"
"{18.0,18.0,2.0}"
"{19.0,18.0,2.0}"
"{23.0,22.0,2.0}"
"{20.0,3.0,2.1}"
"{11.0,11.0,2.1}"
"{16.0,11.0,2.2}"
"{32.0,28.0,2.3}"
"{16.0,5.0,2.8}"
"{10.0,5.0,3.3}"
"{18.0,18.0,4.0}"
"{15.0,12.0,4.2}"
"{23.0,16.0,4.2}"
"{18.0,17.0,4.2}"
"{30.0,27.0,4.2}"
"{8.0,0.0,4.4}"
"{25.0,24.0,4.5}"
"{11.0,8.0,4.7}"
"{19.0,14.0,4.7}"
"{19.0,16.0,4.7}"
"{22.0,18.0,4.7}"
"{19.0,18.0,4.8}"
"{24.0,21.0,4.8}"
"{10.0,10.0,4.9}"
"{18.0,10.0,4.9}"
"{16.0,13.0,4.9}"
"{15.0,9.0,5.0}"
"{24.0,21.0,5.0}"
"{24.0,12.0,5.2}"
"{21.0,14.0,5.2}"
"{23.0,19.0,5.2}"
"{14.0,13.0,5.3}"
"{20.0,19.0,5.3}"
"{0.0,0.0,5.4}"
"{6.0,3.0,6.0}"
"{18.0,13.0,6.0}"
"{22.0,15.0,6.1}"
"{28.0,0.0,6.2}"
"{24.0,22.0,6.2}"
"{33.0,21.0,6.3}"
"{25.0,23.0,6.3}"
"{11.0,0.0,6.6}"
"{15.0,7.0,7.3}"
"{25.0,10.0,7.3}"
"{25.0,12.0,7.3}"
"{20.0,12.0,7.5}"
"{13.0,12.0,2.5}"
"{0.0,0.0,3.2}"
"{14.0,12.0,3.4}"
"{13.0,4.0,3.5}"
"{9.0,5.0,3.5}"
"{12.0,6.0,3.6}"
"{26.0,6.0,3.6}"
"{14.0,13.0,3.6}"
"{8.0,4.0,3.7}"
"{10.0,4.0,3.7}"
"{13.0,12.0,3.7}"
"{22.0,12.0,3.7}"
"{15.0,0.0,3.8}"
"{10.0,2.0,3.8}"
"{10.0,5.0,3.8}"
"{11.0,5.0,3.8}"
"{13.0,5.0,3.8}"
"{13.0,6.0,3.8}"
"{17.0,7.0,3.8}"
"{12.0,8.0,3.8}"
"{10.0,9.0,3.8}"
"{11.0,10.0,3.8}"
"{15.0,10.0,3.8}"
"{13.0,12.0,3.8}"
"{20.0,12.0,3.8}"
"{24.0,12.0,3.8}"
"{17.0,13.0,3.8}"
"{17.0,16.0,3.8}"
"{19.0,17.0,3.8}"
"{15.0,5.0,3.9}"
"{15.0,10.0,3.9}"
"{15.0,9.0,4.0}"
"{17.0,9.0,4.0}"
"{14.0,10.0,4.0}"
"{15.0,10.0,4.0}"
"{20.0,20.0,4.0}"
"{20.0,6.0,4.1}"
"{15.0,10.0,4.1}"
"{15.0,14.0,4.1}"
"{17.0,13.0,4.2}"
"{18.0,16.0,4.2}"
"{14.0,4.0,4.3}"
"{19.0,7.0,4.3}"
"{37.0,22.0,4.3}"
"{13.0,5.0,4.4}"
"{15.0,11.0,4.5}"
"{0.0,0.0,4.6}"
"{15.0,0.0,4.6}"
"{15.0,9.0,4.6}"
"{13.0,11.0,4.6}"
"{19.0,12.0,4.6}"
"{19.0,13.0,4.6}"
"{21.0,20.0,4.6}"
"{0.0,0.0,4.7}"
"{22.0,0.0,4.7}"
"{16.0,13.0,4.8}"
"{17.0,15.0,4.8}"
"{22.0,9.0,4.9}"
"{18.0,10.0,4.9}"
"{18.0,0.0,5.1}"
"{22.0,11.0,5.2}"
"{20.0,14.0,5.2}"
"{29.0,22.0,5.2}"
"{25.0,17.0,5.3}"
"{18.0,13.0,5.5}"
"{17.0,16.0,5.6}"
"{0.0,0.0,5.9}"
"{18.0,15.0,5.9}"
"{19.0,19.0,5.9}"
"{25.0,20.0,6.1}"
"{27.0,1.0,6.3}"
"{30.0,0.0,7.5}"
"{27.0,27.0,2.25}"
"{19.0,19.0,2.4}"
"{18.0,17.0,2.7}"
"{24.0,23.0,2.7}"
"{19.0,10.0,2.8}"
"{19.0,13.0,2.8}"
"{17.0,16.0,2.8}"
"{22.0,22.0,2.8}"
"{16.0,15.0,3.0}"
"{19.0,17.0,3.1}"
"{23.0,23.0,3.1}"
"{27.0,24.0,3.1}"
"{22.0,20.0,3.2}"
"{12.0,6.0,3.3}"
"{13.0,12.0,3.3}"
"{17.0,15.0,3.3}"
"{18.0,16.0,3.3}"
"{21.0,18.0,3.3}"
"{22.0,22.0,3.3}"
"{30.0,29.0,3.3}"
"{20.0,16.0,3.4}"
"{7.0,2.0,3.5}"
"{13.0,8.0,3.5}"
"{19.0,9.0,3.5}"
"{11.0,10.0,3.5}"
"{16.0,12.0,3.5}"
"{17.0,16.0,3.5}"
"{20.0,19.0,3.5}"
"{31.0,28.0,3.5}"
"{15.0,12.0,3.6}"
"{11.0,6.0,3.7}"
"{14.0,12.0,3.7}"
"{15.0,13.0,3.7}"
"{15.0,14.0,3.7}"
"{23.0,15.0,3.7}"
"{17.0,16.0,3.7}"
"{18.0,16.0,3.7}"
"{21.0,20.0,3.7}"
"{13.0,9.0,3.8}"
"{18.0,14.0,3.8}"
"{16.0,15.0,3.9}"
"{0.0,0.0,4.0}"
"{15.0,7.0,4.0}"
"{18.0,10.0,4.0}"
"{16.0,12.0,4.0}"
"{13.0,13.0,4.0}"
"{24.0,15.0,4.0}"
"{18.0,17.0,4.0}"
"{16.0,9.0,4.1}"
"{21.0,17.0,4.1}"
"{18.0,18.0,4.1}"
"{18.0,12.0,4.9}"
"{35.0,0.0,2.9}"
"{17.0,15.0,2.9}"
"{19.0,15.0,2.9}"
"{20.0,19.0,2.9}"
"{22.0,19.0,2.9}"
"{23.0,21.0,2.9}"
"{24.0,23.0,2.9}"
"{29.0,28.0,2.9}"
"{30.0,29.0,2.9}"
"{32.0,30.0,2.9}"
"{15.0,10.0,3.0}"
"{23.0,18.0,3.0}"
"{29.0,29.0,3.1}"
"{15.0,6.0,3.2}"
"{29.0,27.0,3.2}"
"{15.0,14.0,3.3}"
"{22.0,11.0,3.5}"
"{23.0,22.0,3.5}"
